Year,Site,Transect,Aspect,Acetosella.vulgaris,Aciphylla.glacialis,Agrostis.venusta,Ajuga.australis,Arthropodium.milleflorum,Asperula.gunnii,Asterolasia.trymalioides.subsp..trymalioides,Rytidosperma.spp.,Euryomyrtus.ramosissima.subsp..ramosissima,Brachyscome.nivalis,Brachyscome.rigidula,Brachyscome.spathulata,Xerochrysum.subundulatum,Bulbine.glauca,Carex.breviculmis,Carex.hebes,Celmisia.costiniana,Celmisia.latifolia,Celmisia.pugioniformis,Celmisia.tomentella,Gentianella.muelleriana,Craspedia.spp.,Crassula.sieberiana,Anthosachne.scabra,Chrysocephalum.semipapposum.subsp..lineare,Pappochroma.nitidum,Eucalyptus.pauciflora,Euphrasia.spp.,Ewartia.nubigena,Geranium.potentilloides,Gonocarpus.montanus,Goodenia.hederacea.subsp..alpestris,Grevillea.australis,Coronidium.monticola,Hovea.montana,Melicytus.angustifolius.subsp..divaricatus,Hypochaeris.radicata,Kunzea.muelleri,Leionema.phylicifolium,Leptorhynchos.squamatus.subsp..alpinus,Leucochrysum.albicans.subsp..albicans,Acrothamnus.montanus,Lomandra.filiformis.subsp..coriacea,Luzula.acutifolia,Luzula.modesta,Luzula.novae.cambriae,Microseris.lanceolata,Olearia.phlogopappa.subsp..flavescens,Oreomyrrhis.eriopoda,Ozothamnus.alpinus,Pentachondra.pumila,Phebalium.squamulosum.subsp..alpinum,Pimelea.alpina,Pimelea.axiflora.subsp..alpina,Podolobium.alpestre,Prasophyllum.spp.,Prostanthera.cuneata,Poa.fawcettiae,Poa.hiemata,Poa.hothamensis,Ranunculus.muelleri,Rhodanthe.anthemoides,Scleranthus.biflorus,Scleranthus.singuliflorus,Senecio.pinnatifolius.var..alpinus,Stellaria.pungens,Stylidium.graminifolium.s.l.,Trisetum.spicatum,Viola.betonicifolia.subsp..betonicifolia,Viola.hederacea,Wahlenbergia.gloriosa,Agrostis.spp.,Cardamine.lilacina,Craspedia.gracilis.s.l.,Craspedia.aurantia.s.l.,Deyeuxia.monticola,Epacris.gunnii,Erigeron.spp.,Pappochroma.bellidioides,Gentianella.spp.,Geranium.spp.,Luzula.spp.,Montia.australasica,Olearia.brevipedunculata,Olearia.frostii,Orites.lancifolius,Podolepis.robusta,Ranunculus.victoriensis,Rytidosperma.alpicola,Rytidosperma.nudiflorum,Rytidosperma.pallidum,Scleranthus.diander,Senecio.gunnii,Stackhousia.monogyna,Austrostipa.nivicola,Deyeuxia.sp.,Plantago.euryphylla,Acaena.novae.zelandiae,Argyrotegium.fordianum,Bossiaea.foliosa.sl.,Cerastium.vulgare,Craspedia.adenophora,Gonocarpus.micranthus.subsp..micranthus
2004,BF,BF1,NA,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,30,40,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF10,NA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF11,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF12,NA,0,0,0,0,0,1,0,1,0,0,5,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,40,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,30,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF14,NA,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,30,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF15,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0,10,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF16,NA,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF17,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,20,80,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF18,NA,0,0,0,0,0,0,0,1,10,0,0,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,10,0,0,0,15,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF19,NA,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF2,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,30,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF20,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF3,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF4,NA,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,5,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BF,BF5,NA,0,0,0,0,0,1,0,0,1,0,0,0.5,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,60,0,5,30,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
